agents,rounds,Nevals,mean_accuracy,std
7,2,30,0.9333333333333333,0.04554200340426488
7,1,30,0.9666666666666667,0.032773069341672505
6,3,30,0.8666666666666667,0.062063289083417524
6,2,30,0.9,0.0547722557505166
6,1,30,0.9333333333333333,0.04554200340426488
5,3,30,0.8333333333333334,0.0680413817439771
5,2,30,0.9666666666666667,0.03277306934167249
5,1,30,0.9666666666666667,0.0327730693416725
3,5,30,0.5666666666666667,0.0904720132703212
3,3,30,0.6666666666666666,0.086066296582387
3,2,30,0.9,0.0547722557505166
3,1,30,1.0,0.0
2,7,30,0.6666666666666666,0.0907218423253028
2,5,30,0.5357142857142857,0.0942497612342406
2,3,30,0.6333333333333333,0.087981479532574
2,1,30,0.9333333333333332,0.0455420034042648
1,7,30,0.4827586206896552,0.0927924519149901
1,5,30,0.7,0.0836660026534075
1,3,30,0.7333333333333333,0.0807373427759331
1,1,30,0.9333333333333332,0.0455420034042648
